STM_OTF_ID,COMPKEY,COMPTYPE,TYPE,PCD_TYPE,PCD_IN_DAT,PCD_MANUF,STATUS,FLAP_BRAND,AGENCY,OWNER,QTR_PANEL,WATERWAY,MAJ_W_SHED,LONG_NAD83,LAT_NAD83,DETAL_LINK,QUALTY_LEV,REC_DRAW,OTH_PN_CRE,OTH_PN_MOD,CONST_DATE,ACCEP_DATE,AT_MOD_DAT,GE_MOD_DAT,MESSAGE
296,,87,Pipe,,,,EXISTING,,,San Jose,101A,Thompson Creek,Coyote,-121.794602,37.313395,,C2,0,MGE,,,,20110916122546,20110902060409,MRF:Can't locate the Outfall from Google Earth or Orthophoto
297,,87,Pipe,,,,EXISTING,,,San Jose,115C,Canoas Creek,Guadalupe River,-121.857379,37.270488,,C2,0,MGE,,,,20110916122546,20110902060410,MRF:Can't locate the Outfall from Google Earth or Orthophoto
299,,87,Riprap,,,,EXISTING,,,San Jose,115C,Canoas Creek,Guadalupe River,-121.855384,37.268225,,C2,0,MGE,,,,20110916122546,20110908102206,MRF:Can't locate the Outfall from Google Earth or Orthophoto
300,,87,Pipe,,,,EXISTING,Waterman,,San Jose,115C,Canoas Creek,Guadalupe River,-121.855352,37.268251,,C2,0,MGE,,,,20110916122546,20110902060411,MRF:Can't locate the Outfall from Google Earth or Orthophoto
301,,87,Pipe,,,,EXISTING,,,San Jose,117A,Thompson Creek,Coyote,-121.753756,37.279273,,C2,0,MGE,,,,20110916122546,20110902060412,MRF:Can't locate the Outfall from Google Earth or Orthophoto
302,,87,Pipe,,,,EXISTING,,,San Jose,117A,Thompson Creek,Coyote,-121.753728,37.279314,,C2,0,MGE,,,,20110916122546,20110902060413,MRF:Can't locate the Outfall from Google Earth or Orthophoto
304,,87,Riprap,,,,EXISTING,,,San Jose,115C,Canoas Creek,Guadalupe River,-121.851588,37.265504,,C2,0,MGE,,,,20110916122546,20110902060413,MRF:Can't locate the Outfall from Google Earth or Orthophoto
305,,87,Pipe,,,,EXISTING,,,San Jose,115C,Canoas Creek,Guadalupe River,-121.849041,37.262974,,C2,0,MGE,,,,20110916122546,20110902060414,MRF:Can't locate the Outfall from Google Earth or Orthophoto
306,,87,Pipe,,,,EXISTING,,,San Jose,115C,Canoas Creek,Guadalupe River,-121.849101,37.262905,,C2,0,MGE,,,,20110916122546,20110902060415,MRF:Can't locate the Outfall from Google Earth or Orthophoto
376,,87,Concrete,,,,EXISTING,,,San Jose,129C,Canoas Creek,Guadalupe River,-121.845061,37.240231,,C2,0,MGE,,,,20110916122546,20110902060446,
377,,87,Concrete,,,,EXISTING,,,San Jose,129C,Canoas Creek,Guadalupe River,-121.845053,37.237408,,C2,0,MGE,,,,20110916122546,20110902060447,MRF:Can't locate the Outfall from Google Earth or Orthophoto  
378,,87,Concrete,,,,EXISTING,,,San Jose,129C,Canoas Creek,Guadalupe River,-121.844657,37.237051,,C2,0,MGE,,,,20110916122546,20110908085203,MRF:Can't locate the Outfall from Google Earth or Orthophoto
379,,87,Concrete,,,,EXISTING,,,San Jose,129C,Canoas Creek,Guadalupe River,-121.843463,37.236523,,C2,0,MGE,,,,20110916122546,20110902060447,
380,,87,Concrete,,,,EXISTING,,,San Jose,129C,Canoas Creek,Guadalupe River,-121.84309,37.236408,,C2,0,MGE,,,,20110916122546,20110902060448,
381,,87,Concrete,,,,EXISTING,,,San Jose,129C,Canoas Creek,Guadalupe River,-121.840521,37.235219,,C2,0,MGE,,,,20110916122546,20110908084933,MRF:Can't locate the Outfall from Google Earth or Orthophoto  
382,,87,Concrete,,,,EXISTING,,,San Jose,129C,Canoas Creek,Guadalupe River,-121.840492,37.235243,,C2,0,MGE,,,,20110916122546,20140515145055,MRF:Can't locate the Outfall from Google Earth or Orthophoto  
383,,87,Concrete,,,,EXISTING,,,San Jose,129C,Canoas Creek,Guadalupe River,-121.838817,37.234456,,C2,0,MGE,,,,20110916122546,20110902060449,
384,,87,Concrete,,,,EXISTING,,,San Jose,129C,Canoas Creek,Guadalupe River,-121.837332,37.23385,,C2,0,MGE,,,,20110916122546,20110902060449,
397,,87,Concrete,,,,EXISTING,,,San Jose,130C,Canoas Creek,Guadalupe River,-121.804208,37.235177,,C2,0,MGE,,,,20110916122546,20110902060449,
398,,87,Pipe,,,,EXISTING,,,San Jose,130C,Canoas Creek,Guadalupe River,-121.80421,37.235141,,C2,0,MGE,,,,20110916122546,20110913154338,MRF:Can't locate the outfall from Google Earth or Orthophoto
400,,87,Riprap,,,,EXISTING,,,San Jose,130B,Coyote Creek,Coyote,-121.775723,37.250428,,C2,0,MGE,,,,20110916122546,20110902060450,
415,,87,Riprap,,,,EXISTING,Waterman,,San Jose,142A,Alamitos Creek,Guadalupe River,-121.850099,37.221919,,C2,0,MGE,,,,20110916122546,20110902060450,
417,,87,Pipe,,,,EXISTING,,,San Jose,129D,Canoas Creek,Guadalupe River,-121.835354,37.233127,,C2,0,MGE,,,,20110916122546,20110902060450,MRF:Can't locate the Outfall from Google Earth or Orthophoto
418,,87,Pipe,,,,EXISTING,Waterman,,San Jose,129D,Canoas Creek,Guadalupe River,-121.833996,37.233183,,C2,0,MGE,,,,20110916122546,20110902060451,
421,,87,Pipe,,,,EXISTING,,,San Jose,129D,Canoas Creek,Guadalupe River,-121.836324,37.233355,,C2,0,MGE,,,,20110916122546,20110902060451,MRF:Can't locate the outfall from Google Earth or Orthophoto
427,,87,Riprap,,,,EXISTING,,,San Jose,142D,Calero Creek,Guadalupe River,-121.831025,37.212999,,C2,0,MGE,,,,20110916122546,20110902060451,MRF:Can't locate the outfall from Google Earth or Orthophoto
428,,87,Riprap,,,,EXISTING,,,San Jose,155B,Alamitos Creek,Guadalupe River,-121.830629,37.205139,,C2,0,MGE,,,,20110916122546,20110902060452,
430,,87,Riprap,,,,EXISTING,,,San Jose,155B,Alamitos Creek,Guadalupe River,-121.8298,37.202675,,C2,0,MGE,,,,20110916122546,20110902060452,
432,,87,Pipe,,,,EXISTING,,,San Jose,129D,Canoas Creek,Guadalupe River,-121.830717,37.233207,,C2,0,MGE,,,,20110916122546,20110902060452,MRF:Can't locate the Outfall from Google Earth or Orthophoto
434,,87,Riprap,,,,EXISTING,,,San Jose,155B,Alamitos Creek,Guadalupe River,-121.829008,37.201078,,C2,0,MGE,,,,20110916122546,20110902060453,MRF:Can't locate the outfall from Google Earth or Orthophoto
436,,87,Pipe,,,,EXISTING,,,San Jose,129D,Canoas Creek,Guadalupe River,-121.830667,37.233179,,C2,0,MGE,,,,20110916122546,20110902060453,MRF:Can't locate the Outfall from Google Earth or Orthophoto
